"","PER2020f1","facto1","PER2020m1","factor2"
"1",1.96384,0.04,1.9791825,0.04
"2",0.1308625,0.04,0.1254475,0.04
"3",0.11191,0.04,0.1083,0.04
"4",0.09386,0.04,0.0929575,0.04
"5",0.0785175,0.04,0.07942,0.04
"6",0.0658825,0.04,0.06859,0.04
"7",0.0568575,0.04,0.0604675,0.04
"8",0.0514425,0.04,0.055955,0.04
"9",0.0478325,0.0395211814285857,0.0532475,0.04
"10",0.0478325,0.0390770267226029,0.0532475,0.04
"11",0.048735,0.0388322871023783,0.055955,0.04
"12",0.048735,0.0388322871023783,0.055955,0.04
"13",0.052345,0.0387131330277689,0.06137,0.04
"14",0.05776,0.0386363456799432,0.0694925,0.04
"15",0.063175,0.0385335953386767,0.0821275,0.04
"16",0.0694925,0.0383664510780334,0.09747,0.04
"17",0.0767125,0.0381292956451495,0.11552,0.04
"18",0.0839325,0.0378424731617658,0.135375,0.04
"19",0.092055,0.0375410830373766,0.1579375,0.04
"20",0.0983725,0.0372641490241249,0.1805,0.04
"21",0.102885,0.037045680684553,0.2012575,0.04
"22",0.106495,0.0369075145466148,0.2193075,0.04
"23",0.1092025,0.0368544619818603,0.232845,0.04
"24",0.1110075,0.0368733843105707,0.243675,0.04
"25",0.113715,0.0369371458736739,0.250895,0.04
"26",0.1164225,0.037012659038601,0.25631,0.04
"27",0.1200325,0.0370703150361071,0.261725,0.04
"28",0.124545,0.0370910761697828,0.2680425,0.04
"29",0.1308625,0.0370684616191378,0.27436,0.04
"30",0.1380825,0.0370044850258563,0.283385,0.04
"31",0.1471075,0.0369010014031911,0.294215,0.04
"32",0.1579375,0.0367504013865651,0.30685,0.04
"33",0.16967,0.0365308164110482,0.3221925,0.04
"34",0.18411,0.036209623807149,0.33934,0.04
"35",0.2012575,0.0357545903366294,0.359195,0.04
"36",0.222015,0.0351476207587833,0.3835625,0.04
"37",0.2463825,0.0343947224830791,0.4124425,0.04
"38",0.27436,0.0335280145334027,0.44764,0.04
"39",0.30685,0.032599267010361,0.49096,0.04
"40",0.34295,0.031667219354814,0.54511,0.04
"41",0.3835625,0.0307823973234209,0.61009,0.04
"42",0.4286875,0.0299738520264008,0.687705,0.04
"43",0.48013,0.0292416779043742,0.7770525,0.0391872789497549
"44",0.53789,0.0285577320019074,0.88084,0.038247101358196
"45",0.601065,0.0278744878668512,0.9972625,0.0371642438465331
"46",0.67146,0.0271392201682804,1.1290275,0.0359182408505435
"47",0.74727,0.0263089906031945,1.2752325,0.0344958495520197
"48",0.828495,0.0253622067243077,1.43678,0.0328983670992405
"49",0.91694,0.0243045003581582,1.61367,0.0311620356351192
"50",1.0108,0.0231687231563292,1.8077075,0.0293863197438399
"51",1.110075,0.0220100109582678,2.0170875,0.0276946952364594
"52",1.214765,0.0208972619973776,2.243615,0.026182141992445
"53",1.323065,0.0199024616684398,2.4863875,0.0249180817421154
"54",1.4358775,0.0190894561374885,2.745405,0.0239401036850932
"55",1.5513975,0.0185043023044024,3.0188625,0.0232420521112018
"56",1.6687225,0.018169343561891,3.3076625,0.0227714177553196
"57",1.7878525,0.0180822724272878,3.61,0.022453436493756
"58",1.9069825,0.0182200161538258,3.9231675,0.0222164074798684
"59",2.0243075,0.0185460388705992,4.243555,0.0220193157729633
"60",2.1398275,0.0190191350381252,4.564845,0.0218430893955508
"61",2.25264,0.0196017376148829,4.88794,0.0216898351325765
"62",2.27157449007805,0.0202659782880584,5.2144926265484,0.0215817423669496
